,Email,Code_Postal,Ville,Entreprise_name
60,apn@camnet.cm,B.P. 11538, YAOUNDE,BIA Cameroun S.A.
61,info@avilyos.com,, Douala,BICEC
62,Douala,"Rue des Ministres, Bonanjo",B.P. 829,BIOTROPICAL
63,Yaoundé,Bastos Ecole Publique,,BLESSING PETROLEUM SA
64,,,,BOCOM INTERNATIONAL
65,"info@awepcameroon.org, vansteph04@yahoo.fr",, DOUALA,BOLLORE TRANSPORTS & LOGISTICS CAMEROUN
66,axa.cameroun@axa.cm,B.P. 4068, DOUALA,BOLUDA Cameroun
67,"care@brandandconsumers.com, codi@brandandconsumers.com",B.P. 15018, DOUALA,BPS (BUSINESS & PARTNERS SERVICES SARL)
68,,2933, DOUALA,BRAIN CONSULTING
69,contact_cemac@bat.com,, DOUALA,BUETEC BRODERIE SARL
70,battransit@camnet.cm,B.P. 3316, DOUALA,BUNS (SOCIETE BUNS)
71,b_beyokol@hotmail.com,, YAOUNDE,BUREAU DE GESTION
72,"beneficial@groupbeneficial.com, bli@beneficial.com",B.P. 2328, DOUALA,BUREAU VERITAS DOUALA
73,beryo.international01@yahoo.fr,B.P. 11975, DOUALA,CABINET BEHLE ET ASSOCIES
74,contactbgfi@bgfi.com,, DOUALA,CABINET NYEMB
75,Douala,"Rue des Ministres, Bonanjo",B.P. 829,CADEV (CENTRE AFRICAIN POUR LE DROIT ET LE DEVELOPPEMENT)
76,Yaoundé,Bastos Ecole Publique,,CAMAIR-CO SA
77,,,,CAMDA (Camerounaise de Distribution Alimentaire
78,info.cmr@biagroup.com,B.P. 1935, DOUALA,CAMDA (Camerounaise de Distribution Alimentaire)
79,bicec@bicec.com,B.P. 1925, DOUALA,CAMEROON TEA ESTATES (CTE)
80,biotropical@biotropical.com,B.P. 12315, DOUALA,CAMEROUN ASSISTANCE SANITAIRE
81,"blessingpetro@blessingpetroleum.net, amedee.tchanpga@blessingpetroleum.net",PB 5405, DOUALA,CAMEROUN AUDIT CONSEIL
82,bocominter2002@yahoo.fr,B.P. 9546, DOUALA,CAMI TOYOTA
83,bollore.africa-logistics.cm@bollore.com,B.P. 4057, DOUALA,CAMLAIT
84,,, DOUALA,CAMRAIL
85,"bps_sarl11@yahoo.fr, commercial.bpsgroup@gmail.com",BP 15254, DOUALA,CAMTECH Sarl
86,contact@brainconsulting-bc.com,, DOUALA,CAMTRACK
87,bettina@buetec-broderie.com,B.P.3804, DOUALA,CAMWATER
88,Douala,"Rue des Ministres, Bonanjo",B.P. 829,CANAL + CAMEROUN
89,Yaoundé,Bastos Ecole Publique,,CAPA (Cameroon Alcohol Producers Association)
90,,,,CAPI CAMEROUN
91,societe.buns@yahoo.com,BP 1130, YAOUNDE,CBC (Commercial Bank of Cameroon)
92,cabinet.bg@gmail.com,B.P: 13170, YAOUNDE,CCA-Bank S.A (Crédit Communautaire d'Afrique - Bank S.A) 
93,contact.cmr@bureauveritas.com,B.P. 830, DOUALA,CDC (Cameroon Development Corporation)
94,ol_behle@yahoo.fr,B.P. 712, DOUALA,CECOTRAM Sarl
95,cabinet@cabinetnyemb.com,B.P: 4163, DOUALA,CENTRE SERVICES EXPRESS
96,"sa2_ousmanou@hotmail.com, ousman_z@cadev-afrique.org, cadev@cadev-afrique.org",BP 15810, YAOUNDE,CFAO TECHNOLOGIES
97,info@camair-co.net,B.P. 4852, DOUALA,CGA CoPME (Centre de Gestion Agrée - Confédération des Petites et Moyennes Entreprises)
98,ldemez@cfao.com,BP 12153, DOUALA,CGM/ G.K.M AUDIT et CONSEIL
99,"Ldemez@cfao.com, aferrer@cfao.com",B.P: 12153, DOUALA,CHANAS ASSURANCES S.A.
100,boumdago@yahoo.fr,, Douala,CHASLES CORPORATION
101,Douala,"Rue des Ministres, Bonanjo",B.P. 829,CHAZAI WAMBA
102,Yaoundé,Bastos Ecole Publique,,"CHOCOCAM (Chocolaterie, Confiserie du Cameroun)"
103,,,,CIFM- PALLISCO
104,contact1@cas-assistance.com,B.P. 2265, DOUALA,CIMAF (Ciments de l'Afrique Cameroun)
105,cacinternational@cac-international.com,B.P. 443, DOUALA,CIMENCAM (Cimenteries du Cameroun)
106,cami@cfao.com,B.P. 1217 Douala-Cameroun, DOUALA,CITIBANK OF CAMEROON
107,rkamga@camlait.com; pltoukam@camlait.com; gbfotso@camlait.cm;,B.P. 1838, DOUALA,CLGG (Consignation et Logistique du Golfe de Guinée)
108,courrier@camrail.net,B.P. 766, DOUALA,CMA CGM CAMEROUN
109,info@camtechgroup.net,, YAOUNDE,CNCC (Conseil National des Chargeurs du Cameroun )
110,sales@camtrack.net,, DOUALA,CNIC (Chantier Naval et Industriel du Cameroun S.A.)
111,,, DOUALA,CNPS
112,canalplus.cameroun@canal-plus.com ,B.P. 72, DOUALA,COFACE WEST AFRICA (Compagnie Française d'Assurance pour le Commerce Extérieur)
113,"sarah.bakanesimo@diageo.com, rmfondja@sabc-cm.com",, DOUALA,COGENI CAMEROUN SARL
114,Douala,"Rue des Ministres, Bonanjo",B.P. 829,COLGATE PALMOLIVE CAMEROUN
115,Yaoundé,Bastos Ecole Publique,,COMETAL
116,,,,COMPAGNIE INDUSTRIELLE PHARMACEUTIQUE (CINPHARM)
117,ag@capicameroun.com,, Douala,CONCEPT IMMOBILIER
118,cb-cameroun@groupecommercialbank.com,B.P. 4004, DOUALA,CONNECTIK HALL
119,cca@afrigroupe.com /  cca@cca-bank.com,1573 , YAOUNDE,CONSEILS ET SUIVIS LOGISTIQUES
120,info@cdc-cameroon.com,Bota-Limbe     South west province, DOUALA,CONSEILS ET SUIVIS LOGISTIQUES
121,cecotram2002@yahoo.fr,B.P: 564, DOUALA,CONSEILS FISCAUX ASSOCIES
122,cse_97@yahoo.fr/ csemosenjebayi@yahoo.fr,, DOUALA,COTCO S.A. (Cameroon Oil Transportation Company)
123,technologies@cfao.com,B.P. 12937, DOUALA,CPA (COMPAGNIE PROFESSIONNELLE D'ASSURANCE DU CAMEROUN)
124,centredegestionagreecopme@gmail.com / alain.coutchang@yahoo.fr,, ,CPET (Chambre Professionnelle  Des Experts Techniques du Cameroun)
125,cgmaudit@yahoo.fr,B.P. 4096, DOUALA,CREATIVE SARL
126,chanas@chanasassurances.com; mouloki@chanasassurances.com,B.P. 109, DOUALA,CREDIT POPULAIRE (Société Coopérative d'Epargne et de Crédit)
127,Douala,"Rue des Ministres, Bonanjo",B.P. 829,Croisiere BTP
128,Yaoundé,Bastos Ecole Publique,,CROPLIFE CAMEROUN
129,,,,CTA- SOTEXCAM S.A
130,"cnjea@chaslescorp.com, info@chaslescorp.com, sales@chaslescorp.com",BP : 2867 Douala-Cameroun, Douala,CTC (CAMEROUN TOBACCO COMPANY) 
131, contact@chazai-wamba.com,4937, Douala,CWEN (Cameroon Women Entrepreneurs Network)
132,"chococam@chococam.net; calixte.mbella@chococam.net, contact.chococam@tigerbrands.com",B.P. 275, DOUALA,Cyclone Sarl
133,info@pallisco-cifm.com,B.P. 394, DOUALA,DECORALIA
134,youssef.maddoun@cimentsafrique.com,B.P. 9457, DOUALA,DELOITTE
135,contact@cimencam.lafarge.com; nathalie.bayo@lafarge.com;,B.P. 1323, DOUALA,DELTA INDUSTRIES INTERNATIONAL S.A.
136,yinilah.ndahne@citigroup.com,B.P. 4571, DOUALA,DETAENERGY
137,commercial@clgg-cm.com; agencies@clgg-cm.com,B.P. 4054, DOUALA,DHL EXPRESS
138,dlo.agency@cma-cgm.com,2077, DOUALA,DHL GLOBAL FORWARDING
139,info@cncc.cm,B.P.1588, DOUALA,Dino & Fils S.A.
140,Douala,"Rue des Ministres, Bonanjo",B.P. 829,DIOOL CAMEROON SAS
141,Yaoundé,Bastos Ecole Publique,,DJEMO BTP
142,,,,DOHONE SA
143,CNIC@cnicyard.com ;  enquiries@CNICyard.com,B.P. 2389, DOUALA,DOVV Distribution Sarl
144,,, YAOUNDE,DOWNSTREAM CONSULTING SA
145,coface_westafrica@coface.com,B.P. 18342, DOUALA,DPDC (DIBAMBA POWER DEVELOPMENT COMPANY)
146,cogenicam@cogenicam.com,B.P. 5751, DOUALA,DREAM EVENT
147,"richard_fowang@colpal.com, ghislaine_likeng@colpal.com",1083, DOUALA,DTP CAMEROUN
148,cometal@tafinvestment.com,B.P. 4382, DOUALA,EASY PRINT
149,secretariat@cinpharm.net,, Douala,ECA-ERNST & YOUNG
150,conceptimmobilier1@gmail.com,BP: 12112 Douala-Cameroun, Douala,ECO -ASSURANCES
151,infos@connectik-group.com,17808, Douala,ECO SERVICES
152,info@cfpcsl.com,12840, DOUALA,ECOBANK CAMEROUN
153,Douala,"Rue des Ministres, Bonanjo",B.P. 829,ECTA-BTP (ETABLISSEMENTS CAMEROUNAIS DES TECHNICIENS ASSOCIES EN BATIMENT ET TRAVAUX PUBLICS )
154,Yaoundé,Bastos Ecole Publique,,EDOK - ETER CAMEROUN S.A.
155,,,,EFAB CORPORATE SARL 
156,info@cfpcsl.com,12840, DOUALA,EGEC (Entreprise générale d'Etudes et de Constructions)
157,ghtchente@conseilsfiscauxassocies.com ; ghtchente@yahoo.fr,, DOUALA,EGIS CAMEROUN SA
158,,"B.P. 3738 Douala, Cameroun", DOUALA,ElectIT Engineering
159,cpasiege@yahoo.fr,B.P. 54, DOUALA,ELECTRO-PLOMB Sarl
160,fredericdjeuhon@yahoo.fr,467 Av De Gaule, Douala,EMPLOI SERVICE S.A.
161,creative.sarl@yahoo.fr; marc.djoumessi@creativesarl.net;,B.P, DOUALA,ENEM
162,"ecpc@creditpopulairecm.com,  dgecpc@creditpopulairecm.com, president@creditpopulairecm.com, mediesse_emilie@creditpopulairecm.com",184, DOUALA,ENEO CAMEROUN S.A.
163,secretariat@croisierebtp.cm,3461, Yaoundé,EURO COSMETICS
164,info@croplife-cm.org,B.P. 3224, DOUALA,EUROPE AFRIQUE INTERIM S.A
165,gab.sotexcam@yahoo.com,B.P. 7616, DOUALA,EVOLVING CONSULTING
166,Douala,"Rue des Ministres, Bonanjo",B.P. 829,Executive & Leisure Travel Agency (ELTA)
167,Yaoundé,Bastos Ecole Publique,,EXPERTIZ Sarl
168,,,,EXPRESS EXCHANGE
169,accounting.secretary@ctccm.com,, DOUALA,EXPRESS UNION
170,camwomen2015@gmail.com,, ,FACE AUX RISQUES PROFESSIONNELS
171,info@cyclone-cm.com,362, Douala,FAFINSA
172,decoralia.events@yahoo.fr,BP 4406, DOUALA,FAYADORT S.A.
173,infocameroun@deloitte.com,B.P.5393, DOUALA,FERMENCAM (Société Camerounaise de Fermentations)
174,diabemoise@hotmail.fr,B.P. 18492, DOUALA,FIMEX INTERNATIONAL SA
175,detaenergy_sarl@yahoo.fr,B.P. 7326, DOUALA,FINANCIAL HOUSE S.A.
176,ousmanou.kouotou@dhl.com;,, DOUALA,FIRST TRUST S.A
177,dgfcm.cs@dhl.com,625, DOUALA,FIRSTRANSACT INTERNATIONAL SERVICES COMPANY (FISCO Sarl)
178,talom_justin@justawe.com,B.P. 12287, YAOUNDE,FISC'AF SARL
179,Douala,"Rue des Ministres, Bonanjo",B.P. 829,FLORE SERVICES SARL
180,Yaoundé,Bastos Ecole Publique,,"FME - GAZ, Les Gaz Industriels du Cameroun"
181,,,,FODECC (FONDS DE DEVELOPPEMENT DES FILIRES CACAO CAFE)
182,contact@diool.com ,482, Douala,FOURE LAGADEC CAMEROUN
183,ebtpbat@yahoo.fr; infos@djemo.cm,B.P. 8412, YAOUNDE,FULL OPTION SERVICES SARL
184,infos@my-dohone.com,BP 5033, YAOUNDE,G4S Security Services Cameroon Plc
185,dovvcam@yahoo.fr,B.P. 20829, YAOUNDE,GAP CONSULT
186,mbalkam@yahoo.fr,B.P. 5825, DOUALA,GEFAD CONSULTING
187,hadidjatou.goggo@globeleq.cm,BP 12063, DOUALA,GENERAL BUSINESS OF AFRICA
188,infos@dreamevent.biz,B.P. 8535, DOUALA,GEX (Groupement des Exportateurs Cacao/cafés)
189,d.bouchval@bouygues-construction.com,B.P. 12880, YAOUNDE,GFBC (Groupement de la Filière Bois au Cameroun)
190,experience@easygroup.agency,, DOUALA,GLOBAL LOGISTICS LTD
191,eca_sa@hotmail.com,B.P. 3340, DOUALA,GLOBAL SERVICES SARL
192,Douala,"Rue des Ministres, Bonanjo",B.P. 829,GPAC (GROUPEMENT PROFESSIONNEL DES ACCONIERS DU CAMEROUN)
193,Yaoundé,Bastos Ecole Publique,,GPP (GROUPEMENT DES PROFESSIONNELS DU PETROLE)
194,,,,GRAPHICS SYSTEM
195,michel.toguem@ecoassurances.com,B.P. 1500, DOUALA,Groupe Blaz Design Management & Investment S.A
196,dg.ecoservices@gmail.com,2192, Douala,GROUPE FOCALI
197,ecobankcm@ecobank.com; mfall@ecobank.com,B.P. 582, DOUALA,GROUPE INTER PRESS
198,contact@ecta-btp.com,B.P. 785, YAOUNDE,GROUPE NOJEMA
199,p_marelis@yahoo.fr; edoketer@yahoo.fr;,B.P. 1858, DOUALA,Groupe Scolaire Bilingue DUVAAL
200,anda@efab-corporate.com,, Yaoundé,GROUPEMENT DES INDUSTRIES MEUNIERES DU CAMEROUN
201,ejongl@camnet.cm; egeccameroun@yahoo.fr,B.P. 4111, DOUALA,GTS- FILTREX
202,contact.egis-cameroun@egiscameroun.com,BP 911, YAOUNDE,GTW (GALILEO TRAVELPORT WORLDSPAN)
203,info@electit.net,15163, Douala,GUCE-GIE (Guichet Unique des Opérations du Commerce Extérieur)
204,"info@electro-plomb.com, electroplomb@gmail.com",B.P: 12275, DOUALA,GUEST Cameroun
205,Douala,"Rue des Ministres, Bonanjo",B.P. 829,GUINNESS CAMEROUN S.A.
206,Yaoundé,Bastos Ecole Publique,,GULFIN S &T CO
207,,,,HACC (Huilerie Alimentaire et Chimique du Cameroun)
208,"emploiservice@emploiservice.cm, emploi_service@yahoo.fr",B.P. 7242, DOUALA,HARVEST ASSET MANAGEMENT
209,secretariat@enem-cameroun.cm; secretariat.enem@yahoo.fr,B.P. 3489, DOUALA,HAVAS AFRICA CAMEROUN
210,alexandre.siewe@eneo.cm,B.P. 4077, DOUALA,HEVECAM S.A.
211,,, DOUALA,HILTON YAOUNDE - CAMEROON HOTELS CORPORATION
212,,10071, Douala,HORIZON PHYTO PLUS SA
213,info@evolvingconsulting.com,BP 12507, YAOUNDE,HOTEL IBIS DOUALA
214,enquiries.douala@elta-travel-deals.com,B.P. 4911, DOUALA,HOTEL MONT FEBE
215,secretariat@expertiz.cm,BP 7444, DOUALA,HOTEL SAWA
216,info@expressexchange.net,B.P. 12554, DOUALA,HSD HUMAN RESOURCE SOLUTIONS LTD
217,info@expressunion.com; spdg@expressunion.net,B.P. 33088, YAOUNDE,HUAWEI Technologies Company Cam
218,Douala,"Rue des Ministres, Bonanjo",B.P. 829,HYDRAC SA (Hydrocarbures Analyses Contrôles)
219,Yaoundé,Bastos Ecole Publique,,HYSACAM SA
220,,,,IHS CAMEROON
221,"faceaurisque@yahoo.fr, faceauxrisques@faceauxrisques.cm",," Ndogsimbi, face ancien CNPS Bassa",IHS CAMEROON S.A.
222,"fafinsa@noubruholding.com, rebeccabehem@gmail.com",, YAOUNDE,INQ CREATORS
223,fayadort@fayadort.com,B.P.6260, DOUALA,INSTITUT SAINT JEAN
224,"fermencam@gmail.com, secretariat.fermencam@gmail.com",B.P. 13234, DOUALA,INSTITUT UNIVERSITAIRE DE LA COTE
225,fimex@fimex-international.com,B.P. 3224, DOUALA,INSTITUT UNIVERSITAIRE SIANTOU
226,blaise.kamdem@financialhouse.cm,B.P. 4531, YAOUNDE,INSTRUMELEC CAMEROUN
227,damase.gnonhossou@firsttrustcm.net; guillaume.ebele@firsttrustcm.net,B.P. 15271, DOUALA,INTEK
228,"Sikamj@simad.cm, Info@simad.cm",B.P. 2278, DOUALA,INTEL HR CONSULTING
229,reine.tamo@aec-cm.com,512, DOUALA,Intelcia Cameroun
230,floreservices@yahoo.fr,B.P.10114, DOUALA,INTER'ACTIV CONSULTING SARL
231,Douala,"Rue des Ministres, Bonanjo",B.P. 829,IT SERVICES SARL
232,Yaoundé,Bastos Ecole Publique,,JEFFERSONS GROUP
233,,,,JURITAX CONSEIL SARL
234,fme@tafinvestment.com,B.P. 13108, DOUALA,KAMIINI PRIVATE LLC
235,fodecc_06@yahoo.fr,B.P. 1510, YAOUNDE,KOMSON AFRICA LOGISTIC
236,lucienne.mafogang@fourelagadec.com; fl.cameroun@fourelagadec.com,B.P.3530, DOUALA,KPDC (KRIBI POWER DEVELOPMENT COMPANY)
237,"fulloptionservice.sarl@yahoo.com,  fulloption.sarl@yahoo.com ",B.P.: 10059 Akwa Douala-Cameroun, Douala,KPMG AFRIQUE CENTRALE
238,blanche.kemmogne@cm.g4s.com,B.P. 3798, DOUALA,L'ATRIUM
239,gap@gapconsultcm.com,B.P. 6805, DOUALA,LA NEGRESSE Sarl
240,kuissutherese@yahoo.fr ,, ,LA NOUVELLE EXPRESSION
241,generalbusiness@yahoo.fr,6754, DOUALA,LA PASTA SA
242,gex_cam@yahoo.fr,B.P. 12232, DOUALA,LA ROYALE DES JEUX DU CAMEROUN
243,gfbcam@yahoo.fr; ouoguia@yahoo.fr,B.P 495, YAOUNDE,LA SOLUTION
244,Douala,"Rue des Ministres, Bonanjo",B.P. 829,LES LABORATOIRES BIOPHARMA
245,Yaoundé,Bastos Ecole Publique,,LMT GROUP (AXESS) SA
246,,,,LOGISCAL INVESTMENT SARL
247,info@globallogistics.cm,BP 3861, DOUALA,Longstar Equipment Cameroun
248,infos@globalservices-sarl.com,B.P. 2533, DOUALA,LOTHE Consulting
249,gpac_sg@syndicatsmaritimes.org,, DOUALA,MAERSK LINE AGENCY CAMEROUN
250,gpp_cam@yahoo.fr ,829, DOUALA,MAHIMA SARL
251,graphicssystem@hotmail.com,3045 , Douala,MAÏSCAM SA
252,bd.blazdesign@gmail.com,, Yaoundé,MAT-LEC
253,focali2014@yahoo.fr,B.P: 11400, DOUALA,MAZARS CAMEROUN
254,interpressimprimerie@yahoo.fr,B.P. 20017, YAOUNDE,MC DISTRIBUTION
255,societenojema@yahoo.com,B.P. 4443, DOUALA,ME MULTIMEDIA SOLUTIONS
256,"romeodeffo@yahoo.fr,",, DOUALA,MEDIA PLUS SARL
257,Douala,"Rue des Ministres, Bonanjo",B.P. 829,MEDICARE SARL
258,Yaoundé,Bastos Ecole Publique,,MELODIUS Consulting
259,,,,METCH-ELEC
260,secretariatgeneral.gimc@yahoo.com,, Douala,METROPOLITANS PLASTICS S.A.
261,gts@gtsalarm.com; info@filtrex-cm.com/v.epesse@gts-filtrex.com,B.P. 11062, DOUALA,MISTER CLEAN
262,infogalileo@travelportcwa.com,B.P. 12069, DOUALA,MIT CHIMIE
263,guce-gie@guichetunique.org,B.P. 12679, DOUALA,Mobile Money Corporation Limited
264,info@guestcameroon.com,, ,MOLIGE S.A.R.L
265,Guinness.Cameroun@diageo.com,B.P. 1213, DOUALA,MP SOLUTIONS SARL
266,"info@gulfinstco.com, bayemi.eric@gulfinstco.com",, DOUALA,MSC (Mediterranean Shipping Company Cameroun)
267,haccdirection2018@yahoo.com,, Douala,MSMI (MULTI SERVICES MATERIEL INDUSTRIEL SARL)
268,info@hamgt.com,661, Douala,MTA CAMEROUN SA
269,havasmediacameroun@havasmedia.com,B.P. 263, DOUALA,MTN CAMEROON
270,Douala,"Rue des Ministres, Bonanjo",B.P. 829,MULTIPRINT LABELS & PACKAGING
271,Yaoundé,Bastos Ecole Publique,,NACYDATE SARL
272,,,,NAL BUSINESS & CORPORATION
273,"bayo@hevecam.com, adama@hevecam.com",B.P. 1298, DOUALA,NAMé RECYCLING SARL
274,reservations.yaounde@hilton.com,B.P. 11852, YAOUNDE,NATIONAL FINANCIAL CREDIT BANK
275,horizonphyto@horizonphytoplus.com,, Douala,NESTLE CAMEROUN
276,ho839@accor.com,B.P. 12086, DOUALA,NEWKO AUDIT
277,info@hotel-montfebe.com,B.P. 711, YAOUNDE,NEZAFI CAPITAL
278,reservation@hotelsawa.biz; hotelsawa@hotelsawa.com; lmpriso@hotelsawa.com,B.P. 2345, DOUALA,NOUBOU INTERNATIONAL HOTEL SA
279,cameroon.office@hsd-melt.com,B.P. 3948, DOUALA,NSIA
280,ngomom.serge@huawei.com,BP 4427, YAOUNDE,NT&C
281,hydrac@camnet.cm,B.P. 12806, DOUALA,OAPA (Observatoire Africain de la Pratique des Affaires)
282,hysacam_dg@hysacam-proprete.com,, Douala,OASIS MOTORS
283,Douala,"Rue des Ministres, Bonanjo",B.P. 829,OK FOODS
284,Yaoundé,Bastos Ecole Publique,,OK PLASTCAM Sarl
285,,,,OKALLA AHANDA & ASSOCIES
286,,BP 15115, DOUALA,OLAM CAM S.A.
287,martial.mbongue@ihstowers.com,BP : 15115 Douala-Cameroun, Douala,OMED VOYAGE
288,reachus@triberix.com,BP 8520, DOUALA,OMOA CAMEROUN S.A
289,info@institutsaintjean.org,BP 749, YAOUNDE,ONE WORLD BUSINESS SA
290,istdi@yahoo.fr  /  scolarité@istidi.net ,, Douala,ONZFI (Office National des Zones Franches Industrielles)
291,inscriptions@siantou.net,, Yaoundé,ORANGE CAMEROUN S.A.
292,infos@instrumelec.com,B.P. 8171, DOUALA,OUMAROU MOHAMADOU COMPANY (OMC)
293,intek@intek-cm.com,B.P, YAOUNDE,PAK (PORT AUTONOME DE KRIBI)
294,"derick.fonderson@intelhrc.com,",, Douala,PAMOL PLANTATIONS
295,alain.nsague@intelcia.com,12995, Douala,PANESS CONSEIL (Panafric Engineering and Services)
296,Douala,"Rue des Ministres, Bonanjo",B.P. 829,PANZANI CAMEROUN SA
297,Yaoundé,Bastos Ecole Publique,,PERENCO RIO DEL REY
298,,,,Perfect Services Sarl
299,interactivconsulting@yahoo.fr,BP 16257, YAOUNDE,PERFITCOM (Performance IT et Conseils en Management)
300,contact@its-nh.com,, YAOUNDE,PETROLEX CAMEROUN S.A
301,info@jeffersonsgroup.com,, Douala,PHP (Plantations de Haut  Penja)
302,juritax@juritaxconseil.com,, Douala,PIGIER CAMEROUN
303,sales@kamiini.com,BP 15571, DOUALA,PLASTICAM
304,komson.company@yahoo.com,B.P. 7203, DOUALA,POLYPHARMA SARL
305,hadidjatou.goggo@globeleq.cm,BP 12068, DOUALA,POMME ROUGE Sarl
306,thierrymbimi@kpmg.cm,, Douala,PORT AUTONOME DE DOUALA
307,rakesh@deeliteglobal.com,664, Douala,PPSM
