Unnamed: 0,Entreprise_name,other_link
71,BUREAU DE GESTION,/index.php/p/bureau-de-gestion
72,BUREAU VERITAS DOUALA,/index.php/p/bureau-veritas
73,CABINET BEHLE ET ASSOCIES,/index.php/p/cabinet-behle-et-associes
74,CABINET NYEMB,/index.php/p/cabinet-nyemb
75,CADEV (CENTRE AFRICAIN POUR LE DROIT ET LE DEVELOPPEMENT),/index.php/p/cadev-centre-africain-pour-le-droit-et-le-developpement
76,CAMAIR-CO SA,/index.php/p/camair-co-sa
77,CAMDA (Camerounaise de Distribution Alimentaire,/index.php/p/camda-camerounaise-de-distribution-alimentaire
78,CAMDA (Camerounaise de Distribution Alimentaire),/index.php/p/camda-camerounaise-de-distribution-alimentaire_1
79,CAMEROON TEA ESTATES (CTE),/index.php/p/cameroon-tea-estates-cte
80,CAMEROUN ASSISTANCE SANITAIRE,/index.php/p/cameroun-assistance-sanitaire
81,CAMEROUN AUDIT CONSEIL,/index.php/p/cameroun-audit-conseil
82,CAMI TOYOTA,/index.php/p/cami-toyota
83,CAMLAIT,/index.php/p/camlait
84,CAMRAIL,/index.php/p/camrail
85,CAMTECH Sarl,/index.php/p/camtech-sarl
86,CAMTRACK,/index.php/p/camtrack
87,CAMWATER,/index.php/p/camwater
88,CANAL + CAMEROUN,/index.php/p/canal-cameroun
89,CAPA (Cameroon Alcohol Producers Association),/index.php/p/capa-cameroon-alcohol-producers-association
90,CAPI CAMEROUN,/index.php/p/capi-cameroun
91,CBC (Commercial Bank of Cameroon),/index.php/p/cbc-commercial-bank-of-cameroon
92,CCA-Bank S.A (Crédit Communautaire d'Afrique - Bank S.A) ,/index.php/p/cca-sa-credit-communautaire-d-afrique
93,CDC (Cameroon Development Corporation),/index.php/p/cdc-cameroon-development-corporation
94,CECOTRAM Sarl,/index.php/p/cecotram-sarl
95,CENTRE SERVICES EXPRESS,/index.php/p/centre-services-express
96,CFAO TECHNOLOGIES,/index.php/p/cfao-technologies
97,CGA CoPME (Centre de Gestion Agrée - Confédération des Petites et Moyennes Entreprises),/index.php/p/cga-copme-centre-de-gestion-agree-confederation-des-petites-et-moyennes-entreprises
98,CGM/ G.K.M AUDIT et CONSEIL,/index.php/p/cgm-gkm-audit-et-conseil
99,CHANAS ASSURANCES S.A.,/index.php/p/chanas-assurances-s-a-
100,CHASLES CORPORATION,/index.php/p/chasles-corporation
101,CHAZAI WAMBA,/index.php/p/chazai-partners
102,"CHOCOCAM (Chocolaterie, Confiserie du Cameroun)",/index.php/p/chococam-chocolaterie-confiserie-du-cameroun
103,CIFM- PALLISCO,/index.php/p/cifm-pallisco
104,CIMAF (Ciments de l'Afrique Cameroun),/index.php/p/cimaf-ciments-de-l-afrique-cameroun
105,CIMENCAM (Cimenteries du Cameroun),/index.php/p/cimencam-cimenteries-du-cameroun
106,CITIBANK OF CAMEROON,/index.php/p/citibank-of-cameroon
107,CLGG (Consignation et Logistique du Golfe de Guinée),/index.php/p/clgg-consignation-et-logistique-du-golfe-de-guinee
108,CMA CGM CAMEROUN,/index.php/p/cma-cgm-cameroun
109,CNCC (Conseil National des Chargeurs du Cameroun ),/index.php/p/cncc-conseil-national-des-chargeurs-du-cameroun
110,CNIC (Chantier Naval et Industriel du Cameroun S.A.),/index.php/p/cnic-chantier-naval-et-industriel-du-cameroun-sa
111,CNPS,/index.php/p/cnps
112,COFACE WEST AFRICA (Compagnie Française d'Assurance pour le Commerce Extérieur),/index.php/p/coface-west-africa-compagnie-franaise-d-assurance-pour-le-commerce-extrieur
113,COGENI CAMEROUN SARL,/index.php/p/cogeni-cameroun-sarl
114,COLGATE PALMOLIVE CAMEROUN,/index.php/p/colgate-palmolive-cameroun-3
115,COMETAL,/index.php/p/cometal
116,COMPAGNIE INDUSTRIELLE PHARMACEUTIQUE (CINPHARM),/index.php/p/compagnie-industrielle-pharmaceutique-cinpharm
117,CONCEPT IMMOBILIER,/index.php/p/concept-sarl
118,CONNECTIK HALL,/index.php/p/connectik-hall
119,CONSEILS ET SUIVIS LOGISTIQUES,/index.php/p/conseils-et-suivis-logistiques
120,CONSEILS ET SUIVIS LOGISTIQUES,/index.php/p/conseils-et-suivis-logistiques_2
121,CONSEILS FISCAUX ASSOCIES,/index.php/p/conseils-fiscaux-associes
122,COTCO S.A. (Cameroon Oil Transportation Company),/index.php/p/cotco-sa-cameroon-oil-transportation-company
123,CPA (COMPAGNIE PROFESSIONNELLE D'ASSURANCE DU CAMEROUN),/index.php/p/cpa-compagnie-professionnelle-d-assurance-du-cameroun
124,CPET (Chambre Professionnelle  Des Experts Techniques du Cameroun),/index.php/p/cpet-chambre-professionnelle-des-experts-techniques-du-cameroun
125,CREATIVE SARL,/index.php/p/creative-sarl
126,CREDIT POPULAIRE (Société Coopérative d'Epargne et de Crédit),/index.php/p/credit-populaire-societe-cooperative-d-epargne-et-de-credit
127,Croisiere BTP,/index.php/p/croisiere-btp
128,CROPLIFE CAMEROUN,/index.php/p/croplife-cameroun
129,CTA- SOTEXCAM S.A,/index.php/p/cta-sotexcam-sa
130,CTC (CAMEROUN TOBACCO COMPANY) ,/index.php/p/ctc-cameroun-tobacco-company
131,CWEN (Cameroon Women Entrepreneurs Network),/index.php/p/cwen-cameroon-women-entrepreneurs-network
132,Cyclone Sarl,/index.php/p/cyclone-sarl
133,DECORALIA,/index.php/p/decoralia
134,DELOITTE,/index.php/p/deloitte
135,DELTA INDUSTRIES INTERNATIONAL S.A.,/index.php/p/delta-industries-international-sa
136,DETAENERGY,/index.php/p/detaenergy
137,DHL EXPRESS,/index.php/p/dp-dhl
138,DHL GLOBAL FORWARDING,/index.php/p/dhl-global-forwarding
139,Dino & Fils S.A.,/index.php/p/dino-fils-s-a
140,DIOOL CAMEROON SAS,/index.php/p/diool-cameroon-sas
141,DJEMO BTP,/index.php/p/djemo-btp
142,DOHONE SA,/index.php/p/dohone-sa
143,DOVV Distribution Sarl,/index.php/p/dovv-distribution-sarl
144,DOWNSTREAM CONSULTING SA,/index.php/p/downstream-consulting-sa
145,DPDC (DIBAMBA POWER DEVELOPMENT COMPANY),/index.php/p/dpdc-dibamba-power-development-company
146,DREAM EVENT,/index.php/p/dream-event
147,DTP CAMEROUN,/index.php/p/dtp-cameroun
148,EASY PRINT,/index.php/p/easy-print
149,ECA-ERNST & YOUNG,/index.php/p/eca-ernst-young
150,ECO -ASSURANCES,/index.php/p/eco-assurances
151,ECO SERVICES,/index.php/p/eco-services
152,ECOBANK CAMEROUN,/index.php/p/ecobank-cameroun
153,ECTA-BTP (ETABLISSEMENTS CAMEROUNAIS DES TECHNICIENS ASSOCIES EN BATIMENT ET TRAVAUX PUBLICS ),/index.php/p/ecta-btp-etablissements-camerounais-des-techniciens-associes-en-batiment-et-travaux-publics
154,EDOK - ETER CAMEROUN S.A.,/index.php/p/edok-eter-cameroun-sa
155,EFAB CORPORATE SARL ,/index.php/p/efab-corporate-sarl
156,EGEC (Entreprise générale d'Etudes et de Constructions),/index.php/p/egec-entreprise-gnrale-d-etudes-et-de-constructions
157,EGIS CAMEROUN SA,/index.php/p/egis-cameroun-sa
158,ElectIT Engineering,/index.php/p/electit-engineering
159,ELECTRO-PLOMB Sarl,/index.php/p/electro-plomb-sarl
160,EMPLOI SERVICE S.A.,/index.php/p/emploi-service-sa
161,ENEM,/index.php/p/enem
162,ENEO CAMEROUN S.A.,/index.php/p/eneo-cameroun-sa
163,EURO COSMETICS,/index.php/p/euro-cosmetics
164,EUROPE AFRIQUE INTERIM S.A,/index.php/p/europe-afrique-interim-sa
165,EVOLVING CONSULTING,/index.php/p/evolving-consulting
166,Executive & Leisure Travel Agency (ELTA),/index.php/p/elta-hrg-cameroun-sarl
167,EXPERTIZ Sarl,/index.php/p/expertiz-sarl
168,EXPRESS EXCHANGE,/index.php/p/express-exchange
169,EXPRESS UNION,/index.php/p/express-union
170,FACE AUX RISQUES PROFESSIONNELS,/index.php/p/face-aux-risques-professionnels
171,FAFINSA,/index.php/p/fafinsa
172,FAYADORT S.A.,/index.php/p/fayadort-sa
173,FERMENCAM (Société Camerounaise de Fermentations),/index.php/p/fermencam-societe-camerounaise-de-fermentations
174,FIMEX INTERNATIONAL SA,/index.php/p/fimex-international-sarl
175,FINANCIAL HOUSE S.A.,/index.php/p/financial-house-s-a
176,FIRST TRUST S.A,/index.php/p/first-trust-sa
177,FIRSTRANSACT INTERNATIONAL SERVICES COMPANY (FISCO Sarl),/index.php/p/firstransact-international-services-company-fisco-sarl
178,FISC'AF SARL,/index.php/p/fisc-af-sarl
179,FLORE SERVICES SARL,/index.php/p/flore-services-sarl
180,"FME - GAZ, Les Gaz Industriels du Cameroun",/index.php/p/fme-gaz-les-gaz-industriels-du-cameroun
181,FODECC (FONDS DE DEVELOPPEMENT DES FILIRES CACAO CAFE),/index.php/p/fodecc-fonds-de-developpement-des-filires-cacao-cafe
182,FOURE LAGADEC CAMEROUN,/index.php/p/foure-lagadec-cameroun
183,FULL OPTION SERVICES SARL,/index.php/p/full-option-services
184,G4S Security Services Cameroon Plc,/index.php/p/g4s-security-services-cameroon-plc
185,GAP CONSULT,/index.php/p/gap-consult
186,GEFAD CONSULTING,/index.php/p/gefad-consulting
187,GENERAL BUSINESS OF AFRICA,/index.php/p/general-business-of-africa
188,GEX (Groupement des Exportateurs Cacao/cafés),/index.php/p/gex-groupement-des-exportateurs-cacao-cafs
189,GFBC (Groupement de la Filière Bois au Cameroun),/index.php/p/gfbc-groupement-de-la-filiere-bois-au-cameroun
190,GLOBAL LOGISTICS LTD,/index.php/p/global-logistics-ltd
191,GLOBAL SERVICES SARL,/index.php/p/global-services-sarl
192,GPAC (GROUPEMENT PROFESSIONNEL DES ACCONIERS DU CAMEROUN),/index.php/p/gpac-groupement-professionnel-des-acconiers-du-cameroun
193,GPP (GROUPEMENT DES PROFESSIONNELS DU PETROLE),/index.php/p/gpp-groupement-des-professionnels-du-petrole
194,GRAPHICS SYSTEM,/index.php/p/graphics-system
195,Groupe Blaz Design Management & Investment S.A,/index.php/p/groupe-blaz-design-management-investment-sa
196,GROUPE FOCALI,/index.php/p/groupe-focali
197,GROUPE INTER PRESS,/index.php/p/groupe-inter-press
198,GROUPE NOJEMA,/index.php/p/groupe-nojema
199,Groupe Scolaire Bilingue DUVAAL,/index.php/p/groupe-scolaire-bilingue-duvaal
200,GROUPEMENT DES INDUSTRIES MEUNIERES DU CAMEROUN,/index.php/p/groupement-des-industries-meunieres-du-cameroun
201,GTS- FILTREX,/index.php/p/gts-filtrex
202,GTW (GALILEO TRAVELPORT WORLDSPAN),/index.php/p/gtw-galileo-travelport-worldspan
203,GUCE-GIE (Guichet Unique des Opérations du Commerce Extérieur),/index.php/p/guce-gie-guichet-unique-des-oprations-du-commerce-extrieur
204,GUEST Cameroun,/index.php/p/guest-cameroun
205,GUINNESS CAMEROUN S.A.,/index.php/p/guinness-cameroun-sa
206,GULFIN S &T CO,/index.php/p/gulfin-s-t-co
207,HACC (Huilerie Alimentaire et Chimique du Cameroun),/index.php/p/hacc-huilerie-alimentaire-et-chimique-du-cameroun
208,HARVEST ASSET MANAGEMENT,/index.php/p/harvest-asset-management
209,HAVAS AFRICA CAMEROUN,/index.php/p/havas-media-cameroun
210,HEVECAM S.A.,/index.php/p/hevecam-sa
211,HILTON YAOUNDE - CAMEROON HOTELS CORPORATION,/index.php/p/hilton-yaounde-cameroon-hotels-corporation
212,HORIZON PHYTO PLUS SA,/index.php/p/horizon-phyto-plus-sa
213,HOTEL IBIS DOUALA,/index.php/p/hotel-ibis-douala
214,HOTEL MONT FEBE,/index.php/p/hotel-mont-febe
215,HOTEL SAWA,/index.php/p/hotel-sawa
216,HSD HUMAN RESOURCE SOLUTIONS LTD,/index.php/p/hsd-human-resource-solutions-ltd
217,HUAWEI Technologies Company Cam,/index.php/p/huawei-technologies-company-cam
218,HYDRAC SA (Hydrocarbures Analyses Contrôles),/index.php/p/hydrac-sa-hydrocarbures-analyses-controles
219,HYSACAM SA,/index.php/p/hysacam-sa
220,IHS CAMEROON,/index.php/p/ihs-cameroon
221,IHS CAMEROON S.A.,/index.php/p/ihs-cameroun-sa
222,INQ CREATORS,/index.php/p/triberix-plc
223,INSTITUT SAINT JEAN,/index.php/p/institut-saint-jean
224,INSTITUT UNIVERSITAIRE DE LA COTE,/index.php/p/institut-universitaire-de-la-cote
225,INSTITUT UNIVERSITAIRE SIANTOU,/index.php/p/institut-universitaire-siantou
226,INSTRUMELEC CAMEROUN,/index.php/p/instrumelec-cameroun
227,INTEK,/index.php/p/intek
228,INTEL HR CONSULTING,/index.php/p/intel-hr-consulting
229,Intelcia Cameroun,/index.php/p/intelcia-cameroun
230,INTER'ACTIV CONSULTING SARL,/index.php/p/inter-activ-consulting-sarl
231,IT SERVICES SARL,/index.php/p/it-services-sarl
232,JEFFERSONS GROUP,/index.php/p/jeffersons-group
233,JURITAX CONSEIL SARL,/index.php/p/juritax-conseil-sarl
234,KAMIINI PRIVATE LLC,/index.php/p/kamiini-private-llc
235,KOMSON AFRICA LOGISTIC,/index.php/p/komson-africa-logistic
236,KPDC (KRIBI POWER DEVELOPMENT COMPANY),/index.php/p/kpdc-kribi-power-development-company
237,KPMG AFRIQUE CENTRALE,/index.php/p/kpmg-afrique-centrale
238,L'ATRIUM,/index.php/p/l-atrium
239,LA NEGRESSE Sarl,/index.php/p/la-negresse-sarl
240,LA NOUVELLE EXPRESSION,/index.php/p/la-nouvelle-expression
241,LA PASTA SA,/index.php/p/la-pasta-sa
242,LA ROYALE DES JEUX DU CAMEROUN,/index.php/p/la-royale-des-jeux-du-cameroun
243,LA SOLUTION,/index.php/p/la-solution
244,LES LABORATOIRES BIOPHARMA,/index.php/p/les-laboratoires-biopharma
245,LMT GROUP (AXESS) SA,/index.php/p/lmt-group-axess-sa
246,LOGISCAL INVESTMENT SARL,/index.php/p/logiscal-investment-sarl
247,Longstar Equipment Cameroun,/index.php/p/longstar-equipment-cameroun
248,LOTHE Consulting,/index.php/p/lothe-consulting
249,MAERSK LINE AGENCY CAMEROUN,/index.php/p/maersk-line-agency-cameroun
250,MAHIMA SARL,/index.php/p/mahima-sarl
251,MAÏSCAM SA,/index.php/p/maiscam-sa
252,MAT-LEC,/index.php/p/mat-lec
253,MAZARS CAMEROUN,/index.php/p/mazars-cameroun
254,MC DISTRIBUTION,/index.php/p/mc-distribution
255,ME MULTIMEDIA SOLUTIONS,/index.php/p/me-multimedia-solutions
256,MEDIA PLUS SARL,/index.php/p/media-plus-sarl
257,MEDICARE SARL,/index.php/p/medicare-sarl
258,MELODIUS Consulting,/index.php/p/melodius-consulting
259,METCH-ELEC,/index.php/p/metch-elec
260,METROPOLITANS PLASTICS S.A.,/index.php/p/metropolitans-plastics-sa
261,MISTER CLEAN,/index.php/p/mister-clean
262,MIT CHIMIE,/index.php/p/mit-chimie
263,Mobile Money Corporation Limited,/index.php/p/mobile-money-corporation-limited
264,MOLIGE S.A.R.L,/index.php/p/molige-sarl
265,MP SOLUTIONS SARL,/index.php/p/mp-solutions-sarl
266,MSC (Mediterranean Shipping Company Cameroun),/index.php/p/msc-mediterranean-shipping-company-cameroun
267,MSMI (MULTI SERVICES MATERIEL INDUSTRIEL SARL),/index.php/p/msmi-multi-services-materiel-industriel-sarl
268,MTA CAMEROUN SA,/index.php/p/mta-cameroun-sa
269,MTN CAMEROON,/index.php/p/mtn-cameroon
270,MULTIPRINT LABELS & PACKAGING,/index.php/p/multiprint
271,NACYDATE SARL,/index.php/p/nacydate-sarl
272,NAL BUSINESS & CORPORATION,/index.php/p/nal-business-corporation
273,NAMé RECYCLING SARL,/index.php/p/name-recycling-sarl
274,NATIONAL FINANCIAL CREDIT BANK,/index.php/p/national-financial-credit-bank
275,NESTLE CAMEROUN,/index.php/p/nestle-cameroun
276,NEWKO AUDIT,/index.php/p/newko-audit
277,NEZAFI CAPITAL,/index.php/p/nezafi-capital
278,NOUBOU INTERNATIONAL HOTEL SA,/index.php/p/noubou-international-hotel-sa
279,NSIA,/index.php/p/nsia
280,NT&C,/index.php/p/ntc
281,OAPA (Observatoire Africain de la Pratique des Affaires),/index.php/p/oapa-observatoire-africain-de-la-pratique-des-affaires
282,OASIS MOTORS,/index.php/p/oasis-motors
283,OK FOODS,/index.php/p/ok-foods
284,OK PLASTCAM Sarl,/index.php/p/ok-plastcam-sarl
285,OKALLA AHANDA & ASSOCIES,/index.php/p/okalla-ahanda-associes
286,OLAM CAM S.A.,/index.php/p/olam-cam-sa
287,OMED VOYAGE,/index.php/p/omed-voyage
288,OMOA CAMEROUN S.A,/index.php/p/omoa-cameroun-sa
289,ONE WORLD BUSINESS SA,/index.php/p/one-world-business-sa
290,ONZFI (Office National des Zones Franches Industrielles),/index.php/p/onzfi-office-national-des-zones-franches-industrielles
291,ORANGE CAMEROUN S.A.,/index.php/p/orange-cameroun-sa
292,OUMAROU MOHAMADOU COMPANY (OMC),/index.php/p/oumarou-mohamadou-company-omc
293,PAK (PORT AUTONOME DE KRIBI),/index.php/p/pak-port-autonome-de-kribi
294,PAMOL PLANTATIONS,/index.php/p/pamol-plantations
295,PANESS CONSEIL (Panafric Engineering and Services),/index.php/p/paness-conseil-panafric-engineering-and-services
296,PANZANI CAMEROUN SA,/index.php/p/panzani-cameroun-sa
297,PERENCO RIO DEL REY,/index.php/p/perenco-rio-del-rey
298,Perfect Services Sarl,/index.php/p/perfect-services-sarl
299,PERFITCOM (Performance IT et Conseils en Management),/index.php/p/perfitcom-performance-it-et-conseils-en-management
300,PETROLEX CAMEROUN S.A,/index.php/p/petrolex-cameroun-sa
301,PHP (Plantations de Haut  Penja),/index.php/p/php-plantations-de-haut-penja
302,PIGIER CAMEROUN,/index.php/p/pigier-cameroun
303,PLASTICAM,/index.php/p/plasticam
304,POLYPHARMA SARL,/index.php/p/polypharma-sarl
305,POMME ROUGE Sarl,/index.php/p/pomme-rouge-sarl
306,PORT AUTONOME DE DOUALA,/index.php/p/port-autonome-de-douala
307,PPSM,/index.php/p/ppsm
308,PREMIUM FINANCIAL,/index.php/p/premium-financial
309,PRICEWATERHOUSECOOPERS TAX & LEGAL,/index.php/p/pricewaterhousecoopers-tax-legal
310,PRODIGY AVIATION SOLUTIONS,/index.php/p/prodigy-aviation-solutions
311,PROMETAL,/index.php/p/prometal
312,PROMODIS AFRIQ SARL,/index.php/p/promodis-afriq-sarl
313,PROXIMITY CARE SARL,/index.php/p/proximity-care
314,RAZEL CAMEROUN,/index.php/p/razel-cameroun
315,"REPTIC.CM (Réseau des Professionnels du Secteur des Télécoms, des TIC et du Numérique du Cameroun.) ",/index.php/p/repticcm-reseau-des-professionnels-du-secteur-des-telecoms-des-tic-et-du-numerique-du-cameroun
316,ROYAL CHIMIE S.A,/index.php/p/royal-chimie-sa
317,RW KING,/index.php/p/rw-king
318,SAAGRY SARL,/index.php/p/saagry-sarl
319,SAAR (Société Africaine d'Assurance et de Réassurances),/index.php/p/saar-societe-africaine-d-assurance-et-de-reassurances
320,SAB SARL (SIANTOU AFRICA BUILDING),/index.php/p/sab-sarl-siantou-africa-building
321,SABC (Société Anonyme des Brasseries du Cameroun),/index.php/p/sabc-societe-anonyme-des-brasseries-du-cameroun
322,SAE SA (SOCIETE AGROALIMENTAIRE EQUATORIALE),/index.php/p/sae-sa-societe-agroalimentaire-equatoriale
323,SAFACAM (Société Africaine Forestière et Agricole du Cameroun),/index.php/p/safacam-societe-africaine-forestiere-et-agricole-du-cameroun
324,SAFCA - CAHIERS,/index.php/p/safca-cahiers
325,SAGEMCOM Cameroun,/index.php/p/sagemcom-cameroun
326,SAICAM SARL,/index.php/p/saicam-sarl
327,SANLAM ASSURANCES,/index.php/p/saham-assurances-1
328,SANLAM LIFE,/index.php/p/saham-life-insurance
329,SANOFI AFC,/index.php/p/sanofi-afc
330,SAPACI SARL (Société Africaine des Produits Alimentaires CIAMS Industries),/index.php/p/sapaci-sarl-societe-africaine-des-produits-alimentaires-ciams-industries
331,SAPTRANS,/index.php/p/saptrans
332,SCADTC (Syndicat des Commissionnaires Agrées en  Douane et  Transitaire du Cameroun),/index.php/p/scadtc-syndicat-des-commissionnaires-agrees-en-douane-et-transitaire-du-cameroun
333,SCB Cameroun (Societe Commerciale  de Banque Cameroun),/index.php/p/scb-cameroun-societe-commerciale-de-banque-cameroun
334,SCDP (Société Camerounaise des Dépôts Pétroliers),/index.php/p/scdp-societe-camerounaise-des-depots-petroliers
335,SCI IMMO 2000,/index.php/p/sci-immo-2000
336,SCI PARADICIO,/index.php/p/sci-paradicio
337,SCIEC (SYNDICAT DES COMMERCANTS IMPORTATEURS EXPORTATEURS DU CAMEROUN),/index.php/p/sciec-syndicat-des-commercants-importateurs-exportateurs-du-cameroun
338,SCIN (Societe Camerounaise d'intermediation et de négoce),/index.php/p/scin-societe-camerounaise-dintermediation-et-de-negoce
339,SCR MAYA & Co (Société Camerounaise de Raffinage MAYA et Cie),/index.php/p/scr-maya-co-societe-camerounaise-de-raffinage-maya-et-cie
340,SCS (SOCIETE CAMEROUNAISE DE SAVONNERIE),/index.php/p/scs-societe-camerounaise-de-savonnerie
341,SCTM (Société Camerounaise de Transformation Métallique),/index.php/p/sctm-societe-camerounaise-de-transformation-metallique
342,SDAD (Société de Distribution & d'Achats Divers),/index.php/p/sdad-societe-de-distribution-dachats-divers
343,SDCRA,/index.php/p/sdcra
344,SECA ( Services Camerounais d'Assainissement ),/index.php/p/seca-services-camerounais-d-assainissement-
345,SECEL,/index.php/p/secel
346,SECURITY SERVICES GROUP,/index.php/p/security-services-group
347,SEMAGRI Sarl,/index.php/p/semagri-sarl
348,SEREMAC Sarl,/index.php/p/seremac-sarl
349,SFID S.A.,/index.php/p/sfid-sa
350,SGMC (Société les Grands Moulins du Cameroun),/index.php/p/sgmc-societe-les-grands-moulins-du-cameroun
351,SGS CAMEROUN S.A.,/index.php/p/sgs-cameroun-sa
352,SHOOTING STAR,/index.php/p/shooting-star
353,SIC (Société Immobilière du Cameroun),/index.php/p/sic-societe-immobiliere-du-cameroun
354,SIC CACAOS,/index.php/p/sic-cacaos
355,SIKA CAMEROON,/index.php/p/sika-cameroon
356,SIMTECH-3D  SARL,/index.php/p/simtech-3d-sarl
